,userid,stars,date,review_head,review,product,product_link
0,Wayne R.,5,02/27/20,"Great product, great company!","I loving buying stuff from Etiko. I know the product will always be first class but, more importantly, I know that no-one is getting ripped off! :-)","On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
1,Sommer M.,5,02/25/20,Good for wide feet,My size 7 foot meaures 9.5 cm across the widest part so I really expected I would be sending these shoes straight back. But they fit and my bones don't get squashed up and they are a comfortable walking shoe.,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
2,Ahyoung P.,5,02/19/20,comfortable and love the colour,comfortable and love the colour,On Sneakers Lowcuts (Kids) Olive Organic Fairtrade,https://yotpo.com/go/ywfzqnlu
3,Rebecca B.,5,02/12/20,comfy and cool.,"I'm really happy with these shoes. Quality of them is great and they are comfy, even for the large amounts of walking that I do. I've only had them for just over a month, so time will tell if the quality stands true, but they were instantly comfy and no breaking in required. So far, so good.",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
4,Perry S.,5,02/12/20,Great formfemale bodied folk too!,"I'm a womens size 6/8, and i wear the XS as highwaisted underwear, for around the house, even dancing in. Siper comfortable, durable, holds their shape with tireless use, rnough elastic to stay on but not cling likes womens briefs. Would love to see these in more colours!",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
5,Kate W.,5,02/10/20,Great to support the environment!,"Very comfy, good quality.","On Bikini, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/wMYbYKke
6,Tim B.,5,02/09/20,Very Satisfied,"So comfortable, look good and the bonus of supporting communities in need and small business. I’ll be back:)","On Bikini, Heather Grey, Organic & Fairtrade",https://yotpo.com/go/wMYbYKke
7,Natalie I.,5,02/08/20,Comfy and warm and the,Comfy and warm and the material feels cleaner than the non ethical substitutes. Favourite piece of clothing and brand now.,On Unisex Black Crew Neck Organic Fairtrade,https://yotpo.com/go/3wD8gNdR
8,Sarah O.,5,02/04/20,"Nice shoes, comparable to other","Nice shoes, comparable to other similar brands, and I love that they’re fair trade!",On Sneakers Hitops White Organic Fairtrade,https://yotpo.com/go/ocReIg8z
9,Tim D.,5,02/03/20,Flippin Fantastic Flip-Flops,This is my third pair of Etiko thongs and I love them. I also feel great that they are compostable when their time on my feet are done 😁,On Natural Rubber Thongs - Free the Bears,https://yotpo.com/go/sN41iCQc
10,Sara G.,5,02/01/20,Super comfy and look great,I bought these for my partner. He told me they were very comfortable and fit well. I can attest they looked great 😅,"On Trunks, Black, Organic & Fairtrade",https://yotpo.com/go/6ni3rAwz
11,Hayley C.,5,02/01/20,Etiko forever,"Love, love, love these shoes! I will always have at least one pair in my wardrobe! Thank you for an earth friendly option.",On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
12,Erenie H.,5,01/29/20,Excellent product AND customer service!,"I messed up my order and purchased the wrong size sneakers. Staff were very understanding and super friendly and got the correct size sent to me in no time! Very happy, will be shopping with Etiko again!",On Sneakers Lowcuts Olive Organic Fairtrade,https://yotpo.com/go/4oSJGORR
13,Cecilia W.,5,01/28/20,We've had a lot of,We've had a lot of fun with the ball. Really good quality.,On Mini Ball (yellow),https://yotpo.com/go/Auei15oD
14,Chloe K.,5,01/26/20,Best thongs you can buy!,My previous 2 pairs of Etiko thongs were so comfy I wore them right down to holes in the soles (which took years!). Once tried and tested there's no going back (or anywhere else). Best thongs you can buy for comfort and long-wearing. And they support the environment so what could possibly be better?,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
15,Holly H.,5,01/24/20,"Comfortable, Good Quality Thongs",I have had these thongs since they originally came out and they are still comfortable and completely intact. I would definitely recommend these thongs.,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
16,Lavina C.,5,01/09/20,Great sneakers,"Like the minimalist style & proud to wear!
Great service by Etiko over the busy Christmas period and ensuring the sneakers got to us on time.",On Etiko Hemp Sneakers All Black,https://yotpo.com/go/kcWnWUsa
17,Asher G.,5,01/06/20,Great hoodie!,"Great sizing, soft, looks awesome.",On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
18,Emma W.,5,01/06/20,Brilliant,"So soft, perfect fit and looks great - gifted for Xmas, love the etiko ideology, keep making the great stuff",On Unisex Bear Black Tshirt Organic Fairtrade,https://yotpo.com/go/6VPlP3lB
19,Zac B.,5,01/03/20,Cheeky red snekz,"Really comfortable, simple make, nice purchase.
I had to go a size up to UK 12, and now they fit beautifully",On Sneakers Hitops Red Organic Fairtrade,https://yotpo.com/go/z2eDREXt
20,Brienen S.,5,01/02/20,Love these.,Super soft but strong.,On Natural Rubber Thongs - Animals Australia,https://yotpo.com/go/a4APm7JX
21,Paul H.,5,01/02/20,Awesome Hitops!,"These Hitops are so comfortable, and are so well made. I love the colour... I am looking forward to getting another pair!",On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
22,Lauren C.,5,12/30/19,Love the beard,"This tee fits well - it’s nice and long and super comfy. It’s also really soft! The colour and print are lovely too. Great quality, all round.",On Unisex Charcoal Zoo Beard Print Organic Fairtrade Tee,https://yotpo.com/go/q4dawKyD
23,Eve C.,5,12/30/19,Perfect gift,"These thongs are awesome. The whole family have a pair each and we get them each year for Christmas gifts, picking a different animal to support each time.",On Natural Rubber Thongs - Long-Neck Turtle,https://yotpo.com/go/1RHUTEvi
24,Beatrice H.,5,12/19/19,"Wonderful product, wonderful service!","I am loving my first pair of Etiko Shoes, after eyeing them off for a little while due to their ethos, I initially bought the wrong size but the Etiko team were super helpful and I’ve now got the right size, and they’re perfect!!",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
25,Alex H.,5,12/15/19,Great thongs,"Great design, excellent initiative, well made",On Natural Rubber Thongs - Mimih Spirits,https://yotpo.com/go/byBkKbp9
26,Doyle M.,5,12/13/19,Great Underwear,Just yesterday I was thinking that pair of undies is the most comfortable pair I own! I love my Etiko underwear trunks! You should get some.,"On Trunks, Eclipse Stripe, Organic & Fairtrade",https://yotpo.com/go/aeZFWRjN
27,William G.,5,12/12/19,Cozy,"Cozy, durable, no problems.",On Unisex Navy Hoodie Organic Fairtrade,https://yotpo.com/go/305daoe1
28,Camilla F.,5,12/11/19,Great pants,"My partner loves this Etiko underware, super comfortable and love this colour. The only downside is that you can’t put them in the clothes dryer. We learnt this the hard way eek",On Trunks Peacock Organic Fairtrade,https://yotpo.com/go/g7PzzVMh
29,Nicholas J.,5,12/09/19,Natural Rubber Thongs,"My Etiko natural rubber thongs are super comfy and look great.
It seems crazy to pay $30 for other rubber thongs, knowing that the producers get very little of that amount.
I won’t be buying thongs that don’t give a fair price to the farmers from now on.",On Natural Rubber Thongs - Save the Children,https://yotpo.com/go/d5bM882m
30,Megan C.,5,12/08/19,Amazing!,Amazing!,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
31,Carynda H.,5,12/08/19,So comfy,Love my sneakers! Comfy and look great. I’d ordered the wrong size but found the return experience very easy. Being an ethical purchase just tops off the whole Etiko experience.,On Sneakers Lowcuts All White - Limited Edition Organic Fairtrade,https://yotpo.com/go/8gDxNh0P
32,Chloe G.,5,12/02/19,Love it!,"They are really comfy and dont hurt my feet. They were really stiff at first, still a little bit but theyre getting better just have to wear them in. Im really glad i could find a more ethical shoe :-) thank youu",On Sneakers Hitops All Black Organic Fairtrade,https://yotpo.com/go/itjKDZSg
33,Michelle P.,5,12/02/19,LOVE THESE SHOES,I LOVE these shoes. I actually can't believe how comfortable they are underfoot compared to same style in other brands. I've worn them almost daily since buying them. I'll be a repeat customer for sure.,On Sneakers Hitops Olive Organic Fairtrade,https://yotpo.com/go/8ynHBGi1
34,Su B.,5,11/27/19,great hoodie,great comfortable soft hoodie,On Unisex Hoodie Zipped Black Organic Fairtrade,https://yotpo.com/go/emyRyJaV
35,Melody L.,5,11/22/19,LOVE,"More comfortable than converse, because there is just a bit more arch support, but the classic style I was looking for. The best part, though, is knowing that the people who make them are well taken care of.",On Sneakers Lowcuts Red Organic Fairtrade,https://yotpo.com/go/oepHMeX5
36,Octavio C.,5,11/18/19,Natural Rubber Thongs,Amazing thongs!!!. I definitely will buy another ones. Great material.,On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
37,Hannah,5,10/30/19,Feels great,"Comfy, cool shoe and great to be supporting an ethical company. Used the measurements on the website and chose a bigger size however slightly big now so will stick to my usual size next time.",On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
38,Christian N.,5,10/19/19,"Amazing product, service and delivery.","Amazing product, service and delivery. The delivery packaging was even re-useable and compostable. Etiko have it all worked out! I wish all companies carried their ethics into their business practices so completely. Cheers Etiko!",On Natural Rubber Thongs - Sea Shepherd,https://yotpo.com/go/jqkKJMI1
39,Melissa L.,5,10/16/19,Pretty comfy!!,These are a great shoe. Pretty damn comfy & pretty good looking too :),On Sneakers Lowcuts White Organic Fairtrade,https://yotpo.com/go/bV24zDH5
40,Elizabeth S.,5,10/15/19,Always very happy with my,Always very happy with my etiko purchases. Thank you,"On Full Brief, Latte, Organic & Fairtrade",https://yotpo.com/go/oVxKmQU7
41,Brett H.,5,10/14/19,Hitops White,"Etiko sneakers are the only sneakers I wear. I own the black and red and the whites did not disappoint! Comfortable, ethical and they look rad.",On Sneakers Hitops White Organic Fairtrade,https://yotpo.com/go/ocReIg8z
